Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135,18,5,20,5,121.4092,0.899327,133.04869565074145,0.002517,121.4092,135,36,5,20,5,134.9613,0.999713,70.00816048748794,0.001399,96480,0.0387,20,5,0.0019,0.049096,178.23684210526312,0.0,0.0019,256.37239999999997,0.949527,70.009684,99.862804,121.4111,96601.4111
0.06,162,18,5,20,5,121.2681,0.748569,139.71533197930862,0.002514,121.2681,162,36,5,20,5,161.7285,0.998324,74.99682337992374,0.001676,96480,0.2715,20,5,0.0585,0.21547,182.76495726495727,1e-06,0.0585,283.0551,0.873627,75.035791,102.746173,121.3266,96601.3266
0.07,190,18,5,20,5,108.8891,0.573101,144.68149107670092,0.002257,108.8891,190,36,5,20,5,188.6716,0.993008,80.24012463985042,0.001956,96480,1.3284,20,5,0.6821,0.513475,189.24036065093088,1.4e-05,0.6821,298.2428,0.784849,80.632771,104.017099,109.5712,96589.5712
0.08,216,18,5,20,5,93.4567,0.43267,148.15076875173202,0.001937,93.4567,216,36,5,20,5,210.7668,0.975772,84.90847989341775,0.002185,96480,4.2332,20,5,3.2831,0.77556,194.35285248697878,6.8e-05,3.2831,307.5066,0.711821,86.587139,105.297416,96.7398,96576.7398
0.09,243,18,5,20,5,75.7933,0.311907,150.77537262528477,0.001571,75.7933,243,36,5,20,5,230.1818,0.94725,89.70692339707134,0.002386,96480,11.8182,20,5,10.8182,0.915385,199.299486051284,0.000224,10.8182,316.7933,0.651838,94.626402,108.060132,86.6115,96566.6115
0.1,270,18,5,20,5,58.2988,0.215921,151.93466760893878,0.001209,58.2988,270,36,5,20,5,242.6828,0.898825,93.97225967394472,0.002515,96480,26.3172,20,5,25.3042,0.961508,205.31147793646895,0.000525,25.3042,326.28579999999994,0.604233,104.485269,112.963244,83.60300000000001,96563.603
0.2,540,18,5,20,5,1.8762,0.003474,106.13857797676151,3.9e-05,1.8762,540,36,5,20,5,138.4824,0.256449,117.28699675915497,0.001435,96480,400.5176,20,5,45.8785,0.114548,287.16670662728717,0.000951,45.8785,186.23710000000003,0.172442,159.56183,159.02363,47.7547,96527.7547
0.3,810,18,5,20,5,0.172,0.000212,89.32558139534882,4e-06,0.172,810,36,5,20,5,77.8132,0.096066,136.48855078572788,0.000807,96480,730.1868,20,5,33.024,0.045227,303.76739643895354,0.000685,33.024,111.00919999999999,0.068524,186.329368,186.179068,33.196,96513.19600000001
0.4,1080,18,5,20,5,0.0203,1.9e-05,84.09113300492612,0.0,0.0203,1080,36,5,20,5,58.5155,0.054181,148.78577898163735,0.000607,96480,1018.4845,20,5,30.0773,0.029531,308.4440441794974,0.000623,30.0773,88.6131,0.041025,202.98984,202.962602,30.0976,96510.09760000001
0.5,1350,18,5,20,5,0.0026,2e-06,85.42307692307692,0.0,0.0026,1350,36,5,20,5,50.7811,0.037616,154.85832228919816,0.000526,96480,1296.2189,20,5,28.3447,0.021867,311.3160290989145,0.000588,28.3447,79.1284,0.029307,210.905108,210.900985,28.3473,96508.34730000001
0.6,1620,18,5,20,5,0.0004,0.0,83.5,0.0,0.0004,1620,36,5,20,5,46.78,0.028877,157.9048952543822,0.000485,96480,1569.22,20,5,27.3126,0.017405,313.4282382490132,0.000566,27.3126,74.093,0.022868,215.23514,215.234428,27.313,96507.31300000001
0.7,1890,18,5,20,5,0.0001,0.0,83.5,0.0,0.0001,1890,36,5,20,5,44.3804,0.023482,159.65229695991923,0.00046,96480,1840.6196,20,5,26.3777,0.014331,315.05428638584874,0.000547,26.3777,70.7582,0.018719,217.584139,217.583949,26.3778,96506.3778
0.8,2160,18,5,20,5,0.0,0.0,0.0,0.0,0.0,2160,36,5,20,5,42.3278,0.019596,160.8677417678216,0.000439,96480,2112.6722,20,5,25.7572,0.012192,316.39825757458107,0.000534,25.7572,68.08500000000001,0.01576,219.706408,219.706408,25.7572,96505.7572
0.9,2430,18,5,20,5,0.0,0.0,0.0,0.0,0.0,2430,36,5,20,5,40.7929,0.016787,161.75097994994226,0.000423,96480,2383.2071,20,5,25.1767,0.010564,317.5298172516652,0.000522,25.1767,65.9696,0.013574,221.202561,221.202561,25.1767,96505.1767
1.0,2700,18,5,20,5,0.0,0.0,0.0,0.0,0.0,2700,36,5,20,5,39.5625,0.014653,162.4780979462875,0.00041,96480,2653.4375,20,5,24.7983,0.009346,318.52715911977833,0.000514,24.7983,64.3608,0.011919,222.604004,222.604004,24.7983,96504.7983
