Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,180,27,5,20,5,171.7426,0.954126,128.3264205,0.002373,171.7426,90,27,5,20,5,89.9888,0.999876,80.18160593,0.001244,72360,0.0112,20,5,0.0007,0.0625,177.0714286,0,0.0007,261.7321,0.969378,80.18236,111.773388,171.7433,72531.7433
0.06,216,27,5,20,5,184.7299,0.855231,135.3585215,0.002553,184.7299,108,27,5,20,5,107.9408,0.999452,84.63866768,0.001492,72360,0.0592,20,5,0.0064,0.108108,177.09375,0,0.0064,292.6771,0.903324,84.644149,116.653695,184.7363,72544.7363
0.07,253,27,5,20,5,178.9832,0.707443,140.8845115,0.002474,178.9832,126,27,5,20,5,125.7057,0.997664,89.06082421,0.001737,72360,0.2943,20,5,0.0749,0.254502,182.6255007,1.00E-06,0.0749,304.7638,0.804126,89.11654,119.519092,179.0581,72539.0581
0.08,288,27,5,20,5,162.4254,0.563977,144.8775586,0.002245,162.4254,144,27,5,20,5,142.8855,0.99226,93.62144689,0.001975,72360,1.1145,20,5,0.5372,0.48201,189.4623976,7.00E-06,0.5372,305.8481,0.707982,93.980426,121.010141,162.9626,72522.9626
0.09,324,27,5,20,5,141.252,0.435963,148.339804,0.001952,141.252,162,27,5,20,5,158.6656,0.979417,98.07544294,0.002193,72360,3.3344,20,5,2.43,0.728767,193.6520576,3.40E-05,2.43,302.3476,0.622114,99.517141,122.326314,143.682,72503.682
0.1,360,27,5,20,5,120.0659,0.333516,151.2966642,0.001659,120.0659,180,27,5,20,5,171.6834,0.953797,102.3251374,0.002373,72360,8.3166,20,5,7.3207,0.880252,197.5663461,0.000101,7.3207,299.07,0.553833,106.220201,124.316787,127.3866,72487.3866
0.2,720,27,5,20,5,10.1962,0.014161,151.192964,0.000141,10.1962,360,27,5,20,5,123.6607,0.343502,125.8694375,0.001709,72360,235.3393,20,5,159.0567,0.675861,248.2311839,0.002198,159.0567,292.9136,0.271216,194.710109,193.195295,169.2529,72529.2529
0.3,1080,27,5,20,5,1.0013,0.000927,140.4279936,1.40E-05,1.0013,540,27,5,20,5,67.827,0.125606,143.6287245,0.000937,72360,471.173,20,5,87.6858,0.186101,277.7120218,0.001212,87.6858,156.5141,0.096614,219.231512,218.727366,88.6871,72448.6871
0.4,1440,27,5,20,5,0.137,9.50E-05,136.0766423,2.00E-06,0.137,720,27,5,20,5,48.7061,0.067647,157.2913711,0.000673,72360,669.2939,20,5,63.8568,0.095409,292.9678562,0.000882,63.8568,112.6999,0.052176,234.260481,234.141127,63.9938,72423.9938
0.5,1800,27,5,20,5,0.0223,1.20E-05,133.6345291,0,0.0223,900,27,5,20,5,40.809,0.045343,165.0473302,0.000564,72360,857.191,20,5,55.2898,0.064501,300.2667906,0.000764,55.2898,96.1211,0.0356,242.84494,242.819603,55.3121,72415.3121
0.6,2160,27,5,20,5,0.0046,2.00E-06,120.2391304,0,0.0046,1080,27,5,20,5,36.9371,0.034201,169.1132696,0.00051,72360,1040.0629,20,5,51.1888,0.049217,304.0756044,0.000707,51.1888,88.1305,0.027201,247.507476,247.500833,51.1934,72411.1934
0.7,2520,27,5,20,5,0.0002,0,198.5,0,0.0002,1260,27,5,20,5,34.6201,0.027476,171.3589288,0.000478,72360,1222.3799,20,5,48.6279,0.039781,306.5879906,0.000672,48.6279,83.2482,0.022023,250.35068,250.350555,48.6281,72408.6281
0.8,2880,27,5,20,5,0.0001,0,203.5,0,0.0001,1440,27,5,20,5,33.0094,0.022923,172.8203481,0.000456,72360,1402.9906,20,5,46.8946,0.033425,308.4137427,0.000648,46.8946,79.9041,0.018496,252.398317,252.398256,46.8947,72406.8947
0.9,3240,27,5,20,5,0,0,0,0,0,1620,27,5,20,5,31.7711,0.019612,173.8523139,0.000439,72360,1584.2289,20,5,45.4519,0.02869,309.9402038,0.000628,45.4519,77.223,0.01589,253.950901,253.950901,45.4519,72405.4519
1,3600,27,5,20,5,0,0,0,0,0,1800,27,5,20,5,30.8708,0.01715,174.657751,0.000427,72360,1765.1292,20,5,44.2792,0.025086,311.1854708,0.000612,44.2792,75.15,0.013917,255.101373,255.101373,44.2792,72404.2792
