M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
90,27,5,20,5,90.9765,1.01085,106.73602798524907,0.001257,90.9765,180,27,5,20,5,171.7086,0.953937,102.348589412528,0.002373,72360,8.2914,20,5,7.2966,0.88002,168.52179097113728,0.000101,7.2966,269.9817,0.999932,105.045938,105.615452,98.2731,72458.2731
108,27,5,20,5,108.7772,1.007196,110.98871086955722,0.001503,108.7772,216,27,5,20,5,184.6151,0.8547,109.38124102524661,0.002551,72360,30.3849,20,5,29.3849,0.967089,173.06880915027796,0.000406,29.3849,322.7772,0.996226,118.126348,115.720936,138.16209999999998,72498.1621
126,27,5,20,5,125.392,0.995175,115.12583737399521,0.001733,125.392,253,27,5,20,5,178.8016,0.706726,114.87808833925426,0.002471,72360,73.1984,20,5,72.1983,0.986337,180.2695915277784,0.000998,72.1983,376.3919,0.993118,133.68748,127.503815,197.5903,72557.59030000001
144,27,5,20,5,138.5347,0.962047,118.48537911440255,0.001915,138.5347,288,27,5,20,5,162.5822,0.564522,118.84269003617861,0.002247,72360,124.4178,20,5,123.3967,0.991793,190.3219287873986,0.001705,123.3967,424.5136,0.98267,149.685183,139.503517,261.9314,72621.9314
162,27,5,20,5,145.5359,0.89837,120.75916423370451,0.002011,145.5359,324,27,5,20,5,142.2013,0.438893,122.42526088017482,0.001965,72360,180.7987,20,5,178.3541,0.986479,205.18283487735906,0.002465,178.3541,466.09130000000005,0.959036,168.47082,153.572969,323.89,72683.89
180,27,5,20,5,145.8528,0.810293,121.86001434322819,0.002016,145.8528,360,27,5,20,5,123.5812,0.343281,125.88594381669706,0.001708,72360,235.4188,20,5,213.6944,0.90772,221.5527730254047,0.002953,213.6944,483.12839999999994,0.894682,186.499477,166.985313,359.5472,72719.54719999999
360,27,5,20,5,52.5574,0.145993,115.9492745074909,0.000726,52.5574,720,27,5,20,5,48.5028,0.067365,157.4008407762026,0.00067,72360,669.4972,20,5,66.9789,0.100044,287.1461930548277,0.000926,66.9789,168.03910000000002,0.155592,232.652599,196.151432,119.5363,72479.5363
540,27,5,20,5,14.8517,0.027503,108.74788408061029,0.000205,14.8517,1080,27,5,20,5,37.0036,0.034263,169.07279291744587,0.000511,72360,1039.9964,20,5,51.5224,0.049541,303.2986021613901,0.000712,51.5224,103.3777,0.063813,247.19262,227.303034,66.3741,72426.3741
720,27,5,20,5,4.4906,0.006237,101.99107023560327,6.2e-05,4.4906,1440,27,5,20,5,33.0729,0.022967,172.84218347952554,0.000457,72360,1402.9271,20,5,46.7398,0.033316,308.27666785052566,0.000646,46.7398,84.30330000000001,0.039029,252.155134,244.156316,51.2304,72411.2304
900,27,5,20,5,1.5063,0.001674,95.84448649007501,2.1e-05,1.5063,1800,27,5,20,5,30.7368,0.017076,174.65669815986053,0.000425,72360,1765.2632,20,5,44.2421,0.025063,311.1445173262571,0.000611,44.2421,76.48519999999999,0.028328,255.192792,252.054586,45.748400000000004,72405.7484
1080,27,5,20,5,0.5461,0.000506,91.0215162058231,8e-06,0.5461,2160,27,5,20,5,29.1751,0.013507,175.90204489444767,0.000403,72360,2125.8249,20,5,42.5668,0.020024,313.2039829162634,0.000588,42.5668,72.288,0.022311,257.367745,256.111082,43.1129,72403.11290000001
1260,27,5,20,5,0.2071,0.000164,88.14992757122162,3e-06,0.2071,2520,27,5,20,5,28.0334,0.011124,176.85052473121345,0.000387,72360,2485.9666,20,5,41.1651,0.016559,314.8133455281295,0.000569,41.1651,69.4056,0.018361,258.922438,258.412869,41.3722,72401.3722
1440,27,5,20,5,0.0749,5.2e-05,85.61615487316423,1e-06,0.0749,2880,27,5,20,5,27.0723,0.0094,177.6501165397842,0.000374,72360,2845.9277,20,5,40.1123,0.014095,316.16240031112653,0.000554,40.1123,67.2595,0.015569,260.348328,260.153747,40.1872,72400.1872
1620,27,5,20,5,0.0324,2e-05,85.32098765432099,0.0,0.0324,3240,27,5,20,5,26.217,0.008092,178.2894305221803,0.000362,72360,3205.783,20,5,39.2504,0.012244,317.25538848011746,0.000542,39.2504,65.4998,0.013477,261.60524,261.51804,39.2828,72399.2828
1800,27,5,20,5,0.0112,6e-06,84.61607142857143,0.0,0.0112,3600,27,5,20,5,25.5943,0.00711,178.86000984594224,0.000354,72360,3565.4057,20,5,38.4596,0.010787,318.2362687079429,0.000532,38.4596,64.0651,0.011864,262.545081,262.513975,38.470800000000004,72398.4708
