Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135,27,15,20,5,134.9964,0.999973,141.81521062783895,0.001866,134.9964,135,27,15,20,5,134.985,0.999889,102.77494536429974,0.001865,72360,0.015,20,5,0.0019,0.126667,232.9736842105263,0.0,0.0019,269.9833,0.999938,102.776778,122.296681,134.9983,72494.9983
0.06,162,27,15,20,5,161.9695,0.999812,148.72818802305366,0.002238,161.9695,162,27,15,20,5,161.8787,0.999251,109.74478822723431,0.002237,72360,0.1213,20,5,0.0312,0.257214,232.20192307692307,0.0,0.0312,323.87940000000003,0.999628,109.768386,129.251872,162.00070000000002,72522.0007
0.07,190,27,15,20,5,189.6714,0.998271,156.17148869044044,0.002621,189.6714,190,27,15,20,5,189.2718,0.996167,117.02911685734483,0.002616,72360,0.7282,20,5,0.3282,0.4507,233.82906764168183,5e-06,0.3282,379.2714,0.998083,117.231299,136.705059,189.99960000000002,72549.99960000001
0.08,216,27,15,20,5,212.9957,0.986091,162.54399947980178,0.002944,212.9957,216,27,15,20,5,212.4053,0.983358,123.33961228839392,0.002935,72360,2.5947,20,5,1.7937,0.691294,235.56946535095057,2.5e-05,1.7937,427.1947,0.988877,124.279424,143.357821,214.7894,72574.7894
0.09,243,27,15,20,5,233.7321,0.96186,168.81976352413736,0.00323,233.7321,243,27,15,20,5,233.9825,0.962891,129.76689389163718,0.003234,72360,8.0175,20,5,7.0299,0.876819,239.1818731418654,9.7e-05,7.0299,474.7445,0.976841,132.958333,150.614077,240.762,72600.76199999999
0.1,270,27,15,20,5,246.2092,0.911886,173.71209808569301,0.003403,246.2092,270,27,15,20,5,249.4635,0.923939,135.3965459876895,0.003448,72360,19.5365,20,5,18.5366,0.948819,244.26346255516103,0.000256,18.5366,514.2093,0.952239,142.926478,157.666979,264.74580000000003,72624.7458
0.2,540,27,15,20,5,89.638,0.165996,166.8404805997457,0.001239,89.638,540,27,15,20,5,150.1947,0.278138,157.90933801259297,0.002076,72360,388.8053,20,5,248.4949,0.639124,338.7973119367842,0.003434,248.4949,488.3276,0.452155,270.653034,251.597077,338.1329,72698.13290000001
0.3,810,27,15,20,5,26.7403,0.033013,153.5619476969218,0.00037,26.7403,810,27,15,20,5,73.842,0.091163,176.00912759676066,0.00102,72360,734.158,20,5,99.3777,0.135363,377.65746691662207,0.001373,99.3777,199.96,0.123432,291.696594,273.22409,126.11800000000001,72486.118
0.4,1080,27,15,20,5,9.5004,0.008797,144.02929350343143,0.000131,9.5004,1080,27,15,20,5,48.2706,0.044695,194.03466499276993,0.000667,72360,1028.7294,20,5,64.3554,0.062558,402.7828573825973,0.000889,64.3554,122.1264,0.05654,313.315057,300.146058,73.8558,72433.8558
0.5,1350,27,15,20,5,3.8861,0.002879,136.9239983531047,5.4e-05,3.8861,1350,27,15,20,5,38.5411,0.028549,206.81695514658378,0.000533,72360,1308.4589,20,5,53.7011,0.041041,413.8272558662672,0.000742,53.7011,96.1283,0.035603,327.333171,319.635655,57.587199999999996,72417.58720000001
0.6,1620,27,15,20,5,1.791,0.001106,132.5279173646007,2.5e-05,1.791,1620,27,15,20,5,33.8078,0.020869,214.13838226681418,0.000467,72360,1582.1922,20,5,49.327,0.031176,418.52137774444014,0.000682,49.327,84.9258,0.026212,335.406492,331.127986,51.117999999999995,72411.118
0.7,1890,27,15,20,5,0.8546,0.000452,130.49508542007956,1.2e-05,0.8546,1890,27,15,20,5,31.3835,0.016605,218.2826564914684,0.000434,72360,1853.6165,20,5,46.7243,0.025207,421.05270811975777,0.000646,46.7243,78.9624,0.02089,339.580257,337.317355,47.5789,72407.57890000001
0.8,2160,27,15,20,5,0.4424,0.000205,129.28661844484625,6e-06,0.4424,2160,27,15,20,5,29.76,0.013778,220.92491599462363,0.000411,72360,2125.24,20,5,44.8533,0.021105,422.79047584012767,0.00062,44.8533,75.0557,0.017374,342.275084,341.019669,45.2957,72405.2957
0.9,2430,27,15,20,5,0.225,9.3e-05,128.7822222222223,3e-06,0.225,2430,27,15,20,5,28.5671,0.011756,222.56371665307293,0.000395,72360,2395.4329,20,5,43.485,0.018153,424.12285845693924,0.000601,43.485,72.2771,0.014872,344.209016,343.538388,43.71,72403.71
1.0,2700,27,15,20,5,0.1213,4.5e-05,128.5618301731245,2e-06,0.1213,2700,27,15,20,5,27.7356,0.010272,223.6915985231976,0.000383,72360,2665.2644,20,5,42.3736,0.015898,425.25786338663704,0.000586,42.3736,70.2305,0.013006,345.517098,345.142379,42.4949,72402.4949
