M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60,27,5,20,5,60.0,1.0,101.19249999999997,0.071685,60.0,60,27,5,20,5,60.0,1.0,75.65333333333332,0.071685,27,0.0,20,5,0.0,0.0,0.0,0.0,0.0,120.0,1.0,75.653333,88.422917,60.0,87.0
65,27,5,20,5,65.0,1.0,103.17384615384611,0.077658,65.0,65,27,5,20,5,65.0,1.0,76.70615384615382,0.077658,27,0.0,20,5,0.0,0.0,0.0,0.0,0.0,130.0,1.0,76.706154,89.94,65.0,92.0
70,27,5,20,5,70.0,1.0,104.00142857142856,0.083632,70.0,70,27,5,20,5,70.0,1.0,78.06857142857143,0.083632,27,0.0,20,5,0.0,0.0,0.0,0.0,0.0,140.0,1.0,78.068571,91.035,70.0,97.0
75,27,5,20,5,75.0,1.0,105.83866666666667,0.089606,75.0,75,27,5,20,5,75.0,1.0,78.7993333333333,0.089606,27,0.0,20,5,0.0,0.0,0.0,0.0,0.0,150.0,1.0,78.799333,92.319,75.0,102.0
80,27,5,20,5,80.0,1.0,106.71187500000003,0.095579,80.0,80,27,5,20,5,80.0,1.0,80.51624999999999,0.095579,27,0.0,20,5,0.0,0.0,0.0,0.0,0.0,160.0,1.0,80.51625,93.614063,80.0,107.0
85,27,5,20,5,85.0,1.0,108.02294117647062,0.101553,85.0,85,27,5,20,5,84.99,0.999882,81.60542416754912,0.101541,27,0.01,20,5,0.01,1.0,141.5,1.2e-05,0.01,170.0,1.0,81.612471,94.817706,85.01,112.01
90,27,5,20,5,90.0,1.0,109.59500000000001,0.107527,90.0,90,27,5,20,5,90.0,1.0,83.14000000000001,0.107527,27,0.0,20,5,0.0,0.0,0.0,0.0,0.0,180.0,1.0,83.14,96.3675,90.0,117.0
95,27,5,20,5,94.99,0.999895,110.61464364669963,0.113489,94.99,95,27,5,20,5,94.97,0.999684,84.43018848057278,0.113465,27,0.03,20,5,0.03,1.0,156.50000000000003,3.6e-05,0.03,189.98999999999998,0.999947,84.452947,97.533107,95.02,122.02
100,27,5,20,5,99.96,0.9996,111.80212084833934,0.119427,99.96,100,27,5,20,5,99.96,0.9996,85.38945578231295,0.119427,27,0.04,20,5,0.04,1.0,147.75,4.8e-05,0.04,199.95999999999998,0.9998,85.4144,98.605621,100.0,127.0
105,27,5,20,5,104.95,0.999524,112.7977608384945,0.125388,104.95,105,27,5,20,5,104.94,0.999429,86.47341337907378,0.125376,27,0.06,20,5,0.06,1.0,45.75,7.2e-05,0.06,209.95,0.999762,86.450143,99.620814,105.01,132.01
110,27,5,20,5,109.96,0.999636,114.11094943615858,0.131374,109.96,110,27,5,20,5,109.94,0.999455,88.1532654175004,0.13135,27,0.06,20,5,0.06,1.0,159.83333333333334,7.2e-05,0.06,219.95999999999998,0.999818,88.192364,101.1493,110.02,137.01999999999998
115,27,5,20,5,114.88,0.998957,115.40407381615599,0.137252,114.88,115,27,5,20,5,114.87,0.99887,89.44445895359969,0.13724,27,0.13,20,5,0.13,1.0,159.96153846153848,0.000155,0.13,229.88,0.999478,89.524174,102.457369,115.00999999999999,142.01
120,27,5,20,5,119.78,0.998167,116.47119719485721,0.143106,119.78,120,27,5,20,5,119.79,0.99825,90.34765005426159,0.143118,27,0.21,20,5,0.21,1.0,159.11904761904765,0.000251,0.21,239.78,0.999083,90.468,103.45767,119.99,146.99
