Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,j_start,Mi_FB,MiSn_FB,MiSn_T
0,540,27,1e-06,540,27,1e-06,12,0.0,0.0,2e-06
1,540,27,0.0005,540,27,0.0005,12,0.0,0.0,0.001
2,540,27,4.047652,540,27,4.047652,12,0.0,0.0,8.095304
3,540,27,0.916367,540,27,0.916367,12,0.0,0.0,1.832734
4,540,27,0.649219,540,27,0.649219,12,0.0,0.0,1.298438
5,540,27,0.276314,540,27,0.276314,12,0.0,0.0,0.552628
6,540,27,1.104622,540,27,1.104622,12,0.0,0.0,2.209244
7,540,27,1.619392,540,27,1.619392,12,0.0,0.0,3.238784
8,540,27,0.78204,540,27,0.78204,12,0.0,0.0,1.56408
9,540,27,0.736559,540,27,0.736559,12,0.0,0.0,1.473118
10,540,27,0.805296,540,27,0.805296,12,0.0,0.0,1.610592
11,540,27,0.948036,540,27,0.948036,12,0.03794048100038878,0.0,1.896072
12,540,27,0.992405,540,27,0.9938,12,0.31804143487335684,0.000285,1.98649
13,540,27,0.87467,540,27,0.885034,12,1.3887419112498738,0.002047,1.761751
14,540,27,0.829775,540,27,0.87376,12,4.26327853804359,0.008485,1.71202
15,540,27,0.803018,540,27,0.942405,12,10.257784360485251,0.025926,1.771349
16,540,27,0.696476,540,27,1.029871,12,20.358453707008824,0.056197,1.782544
17,540,27,0.527154,540,27,1.167212,12,34.334818259547674,0.089302,1.783668
18,540,27,0.357809,540,27,1.433588,12,50.12708573614216,0.112037,1.903434
19,540,27,0.237213,540,27,1.9974,12,64.01639567140751,0.126305,2.360918
20,540,27,0.166109,540,27,3.095535,12,71.82051328242366,0.142752,3.404396
21,540,27,0.129445,540,27,4.947876,12,70.65879737019256,0.174324,5.251645
22,540,27,0.114549,540,27,7.451233,12,60.25911350281693,0.241149,7.806931
23,540,27,0.110313,540,27,9.576312,12,43.33506005135334,0.3739,10.060525
24,540,27,0.103718,540,27,9.583673,12,25.01138977567313,0.605942,10.293333
25,540,27,0.08146,540,27,6.995116,12,10.794094384959172,0.923666,8.000242
26,540,27,0.046006,540,27,3.610821,12,3.214050962027277,1.208788,4.865615
27,540,27,0.017561,540,27,1.30194,12,0.61086094521303,1.348731,2.668232
28,540,27,0.004614,540,27,0.315765,12,0.06766134897548037,1.387498,1.707877
29,540,27,0.000813,540,27,0.04633,12,0.0037418930415412935,1.413656,1.460799
30,540,27,0.0001,540,27,0.003683,12,7.779756882179532e-05,1.447165,1.450948
31,540,27,3.7e-05,540,27,0.000673,12,3.8960617959010876e-07,1.473435,1.474145
32,540,27,3.7e-05,540,27,0.000557,12,8.102313404469376e-10,1.49073,1.491324
33,540,27,3.8e-05,540,27,0.000514,12,2.1320193080682808e-10,1.515111,1.515663
34,540,27,3.9e-05,540,27,0.000502,12,4.436963463941469e-11,1.562386,1.562927
35,540,27,4.2e-05,540,27,0.0005,12,6.344747335339297e-12,1.641793,1.642335
36,540,27,4.6e-05,540,27,0.0005,12,5.241476302335871e-13,1.767438,1.767984
37,540,27,5.3e-05,540,27,0.0005,12,2.466473438336556e-14,1.968649,1.969202
38,540,27,6.5e-05,540,27,0.0005,12,2.74274329131494e-15,2.292249,2.292814
39,540,27,8.6e-05,540,27,0.0005,12,6.364690342769744e-16,2.802824,2.80341
40,540,27,0.000122,540,27,0.0005,12,1.1487525292565845e-16,3.581444,3.582066
41,540,27,0.000183,540,27,0.0005,12,1.440399897103813e-17,4.709233,4.709916
42,540,27,0.000287,540,27,0.0005,12,1.1085593127248163e-18,6.207887,6.208674
43,540,27,0.000457,540,27,0.0005,12,6.235285976088301e-20,7.919035,7.919992
44,540,27,0.00071,540,27,0.0005,12,8.697150214497115e-21,9.385179,9.386389
45,540,27,0.001039,540,27,0.0005,12,1.797925156976367e-21,9.926073,9.927612
46,540,27,0.001391,540,27,0.0005,12,2.8756738329571523e-22,9.054186,9.056077
47,540,27,0.001668,540,27,0.0005,12,3.2487218115684676e-23,6.949831,6.951999
48,540,27,0.001776,540,27,0.0005,12,2.423679006197347e-24,4.423257,4.425533
49,540,27,0.001683,540,27,0.0005,12,1.6925784709779208e-25,2.315772,2.317955
50,540,27,0.001443,540,27,0.0005,12,2.680294234434196e-26,0.990629,0.992572
51,540,27,0.00115,540,27,0.0005,12,5.038224860669467e-27,0.34229,0.34394
52,540,27,0.000887,540,27,0.0005,12,7.368678920872436e-28,0.093598,0.094985
53,540,27,0.000697,540,27,0.0005,12,7.875169909267795e-29,0.019637,0.020834
54,540,27,0.000585,540,27,0.0005,12,6.373495450370931e-30,0.003032,0.004117
55,540,27,0.000531,540,27,0.0005,12,6.776859931531447e-31,0.000327,0.001358
56,540,27,0.000509,540,27,0.0005,12,1.484392593602903e-31,2.3e-05,0.001032
57,540,27,0.000502,540,27,0.0005,12,4.554698007725865e-32,1e-06,0.001003
58,540,27,0.0005,540,27,0.0005,12,2.4237093326920298e-32,0.0,0.001
59,540,27,0.0005,540,27,0.0005,12,2.067853332253949e-32,0.0,0.001
60,540,27,0.0005,540,27,0.0005,12,2.0220048784123995e-32,0.0,0.001
61,540,27,0.0005,540,27,0.0005,12,2.0173025078099196e-32,0.0,0.001
62,540,27,0.0005,540,27,0.0005,12,2.0167671723040857e-32,0.0,0.001
63,540,27,0.0005,540,27,0.0005,12,2.0166739482131907e-32,0.0,0.001
64,540,27,0.0005,540,27,0.0005,12,2.0166574065671352e-32,0.0,0.001
65,540,27,0.0005,540,27,0.0005,12,2.0166551137719043e-32,0.0,0.001
66,540,27,0.0005,540,27,0.0005,12,2.0166548680034256e-32,0.0,0.001
67,540,27,0.0005,540,27,0.0005,12,2.0166548449417852e-32,0.0,0.001
68,540,27,0.0005,540,27,0.0005,12,2.016654842097015e-32,0.0,0.001
69,540,27,0.0005,540,27,0.0005,12,2.0166548416061997e-32,0.0,0.001
70,540,27,0.0005,540,27,0.0005,12,2.0166548415269692e-32,0.0,0.001
71,540,27,0.0005,540,27,0.0005,12,2.0166548415166814e-32,0.0,0.001
