Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,Mi_FB,MiSn_FB,MiSn_T
0,540,27,0.0,540,27,0.0,0.0,0.0,0.0
1,540,27,0.0,540,27,0.0,0.0,0.0,0.0
2,540,27,4.0509,540,27,4.0528,0.0,0.0,8.1037
3,540,27,0.9005,540,27,0.8975,0.0,0.0,1.798
4,540,27,0.638,540,27,0.6374,0.0,0.0,1.2754
5,540,27,0.2587,540,27,0.2568,0.0,0.0,0.5155
6,540,27,1.0884,540,27,1.0988,0.0,0.0,2.1872
7,540,27,1.6013,540,27,1.6173,0.0,0.0,3.2186
8,540,27,0.7631,540,27,0.7649,0.0,0.0,1.528
9,540,27,0.7322,540,27,0.7308,0.0,0.0,1.463
10,540,27,0.7907,540,27,0.7764,0.0,0.0,1.5671
11,540,27,0.9344,540,27,0.9402,0.0412,0.0,1.8746
12,540,27,0.9791,540,27,0.9872,0.3116,0.0003,1.9666
13,540,27,0.8309,540,27,0.8795,1.3792,0.0057,1.7161
14,540,27,0.7299,540,27,0.854,4.2812,0.0211,1.605
15,540,27,0.626,540,27,0.9332,10.2256,0.0488,1.608
16,540,27,0.4591,540,27,1.0185,20.463,0.0723,1.5499
17,540,27,0.2931,540,27,1.1439,34.2343,0.0811,1.5181
18,540,27,0.1673,540,27,1.4128,50.2158,0.081,1.6611
19,540,27,0.1089,540,27,1.9896,63.921,0.0722,2.1707
20,540,27,0.0779,540,27,3.1017,71.8367,0.0852,3.2648
21,540,27,0.076,540,27,4.9497,70.6952,0.1112,5.1369
22,540,27,0.0845,540,27,7.4452,60.4428,0.188,7.7177
23,540,27,0.0985,540,27,9.5725,43.4259,0.3459,10.0169
24,540,27,0.108,540,27,9.6109,24.9639,0.6295,10.3484
25,540,27,0.0893,540,27,6.9284,10.7757,0.9526,7.9703
26,540,27,0.0465,540,27,3.6042,3.2249,1.179,4.8297
27,540,27,0.0205,540,27,1.2916,0.6152,1.2916,2.6037
28,540,27,0.0071,540,27,0.3234,0.0744,1.3591,1.6896
29,540,27,0.0042,540,27,0.0468,0.0038,1.396,1.447
30,540,27,0.0023,540,27,0.0026,0.0,1.4318,1.4367
31,540,27,0.0023,540,27,0.0,0.0,1.4668,1.4691
32,540,27,0.0023,540,27,0.0,0.0,1.4744,1.4767
33,540,27,0.002,540,27,0.0,0.0,1.5301,1.5321
34,540,27,0.0015,540,27,0.0,0.0,1.597,1.5985
35,540,27,0.0013,540,27,0.0,0.0,1.713,1.7143
36,540,27,0.0008,540,27,0.0,0.0,1.9489,1.9497
37,540,27,0.0003,540,27,0.0,0.0,2.2674,2.2677
38,540,27,0.0006,540,27,0.0,0.0,2.7281,2.7287
39,540,27,0.0001,540,27,0.0,0.0,3.5117,3.5118
40,540,27,0.0001,540,27,0.0,0.0,4.6417,4.6418
41,540,27,0.0001,540,27,0.0,0.0,6.1403,6.1404
42,540,27,0.0001,540,27,0.0,0.0,7.8755,7.8756
43,540,27,0.0,540,27,0.0,0.0,9.3254,9.3254
44,540,27,0.0,540,27,0.0,0.0,9.9403,9.9403
45,540,27,0.0,540,27,0.0,0.0,9.0703,9.0703
46,540,27,0.0,540,27,0.0,0.0,6.929,6.929
47,540,27,0.0,540,27,0.0,0.0,4.4358,4.4358
48,540,27,0.0,540,27,0.0,0.0,2.3339,2.3339
49,540,27,0.0,540,27,0.0,0.0,0.9973,0.9973
50,540,27,0.0,540,27,0.0,0.0,0.3468,0.3468
51,540,27,0.0,540,27,0.0,0.0,0.0944,0.0944
52,540,27,0.0,540,27,0.0,0.0,0.0233,0.0233
53,540,27,0.0,540,27,0.0,0.0,0.0025,0.0025
54,540,27,0.0,540,27,0.0,0.0,0.0004,0.0004
