M_4SRA,N_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ms_T,Ps_T,Da_T
999,44,37.645,0.037683,13294.511621729313,1,10,1.0,1.0,1306.0,38.645,0.038645,12984.290076
998,44,37.34,0.037415,13306.737011247991,2,10,2.0,1.0,1588.2399999999998,39.34,0.03934,12710.982206
997,44,37.568,0.037681,13306.170357751276,3,10,3.0,1.0,1807.76,40.568,0.040568,12455.863932
996,44,37.515,0.037666,13303.982673597227,4,10,4.0,1.0,2087.12,41.515,0.041515,12223.229917
995,44,37.589,0.037778,13304.676208465242,5,10,5.0,1.0,2304.656,42.589,0.042589,12013.26056
994,44,37.365,0.037591,13294.49404522949,6,10,5.999,0.999833,2484.4364060676785,43.364000000000004,0.043364,11799.024629
993,44,37.663,0.037928,13299.419536415053,7,10,6.996,0.999429,2684.0674671240704,44.659,0.044659,11636.484785
992,44,37.725,0.038029,13302.475546719681,8,10,7.999,0.999875,2948.9253656707083,45.724000000000004,0.045724,11491.215642
991,44,37.738,0.038081,13287.116116381365,9,10,8.996,0.999556,3111.175633614939,46.734,0.046734,11328.311807
990,44,37.857,0.038239,13276.909475130095,10,10,9.995,0.9995,3269.4777388694347,47.852,0.047852,11186.625261
980,44,38.158,0.038937,13247.45605115572,20,10,19.623,0.98115,4938.896091321408,57.781000000000006,0.057781,10425.786781
970,44,38.148,0.039328,13249.546188528886,30,10,26.708,0.890267,6243.259248165344,64.856,0.064856,10364.324904
960,44,38.493,0.040097,13217.717974696696,40,10,28.923,0.723075,7147.938941326972,67.416,0.067416,10613.644476
950,44,38.896,0.040943,13209.71040723982,50,10,27.662,0.55324,7788.735883161016,66.55799999999999,0.066558,10956.713062
940,44,38.612,0.041077,13184.520667150107,60,10,25.182,0.4197,8308.385831149237,63.794,0.063794,11259.718532
930,44,39.073,0.042014,13167.252527320656,70,10,22.057,0.3151,8811.557419413339,61.129999999999995,0.06113,11595.625389
920,44,39.244,0.042657,13126.006115584549,80,10,19.493,0.243662,9358.383932693789,58.736999999999995,0.058737,11875.648433
910,44,39.106,0.042974,13102.876182682965,90,10,17.229,0.191433,9877.074351384295,56.335,0.056335,12116.325375
900,44,39.709,0.044121,13068.854768440404,100,10,15.669,0.15669,10314.033697108942,55.378,0.055378,12289.388349
800,44,42.369,0.052961,12762.164648681819,200,10,9.105,0.045525,13030.546952224051,51.474000000000004,0.051474,12809.637565
700,44,46.15,0.065929,12296.526543878656,300,10,7.535,0.025117,13758.437956204381,53.685,0.053685,12501.714259
600,44,51.355,0.085592,11703.59789699153,400,10,6.869,0.017172,14106.0,58.224,0.058224,11987.022259
500,44,60.991,0.121982,10874.88721286747,500,10,6.352,0.012704,14330.48362720403,67.343,0.067343,11200.829752
400,44,75.966,0.189915,9833.890898559883,600,10,6.186,0.01031,14498.318137730359,82.15199999999999,0.082152,10185.119681
300,44,99.4,0.331333,8733.45110663984,700,10,6.007,0.008581,14632.532378891296,105.40700000000001,0.105407,9069.631637
200,44,124.96,0.6248,7508.601792573625,800,10,5.741,0.007176,14755.69865877025,130.701,0.130701,7826.928225
100,44,96.313,0.96313,5369.404940143075,900,10,5.39,0.005989,14858.801484230056,101.703,0.101703,5872.318791
1,44,1.0,1.0,1306.0,999,10,5.262,0.005267,14929.169897377424,6.262,0.006262,12753.639732
