M,Ms,Ps,Da
1,1.0,1.0,1355.7487846594115
2,2.0,1.0,1405.2032854766626
3,3.0,1.0,1453.807926841343
4,4.0,1.0,1501.6048066603014
5,5.0,1.0,1548.633821397992
6,6.0,1.0,1594.9327839929101
7,7.0,1.0,1640.5375350845345
8,8.0,1.0,1685.4820479541993
9,9.0,1.0,1729.7985275546187
10,10.0,1.0,1773.5175039760247
11,11.0,1.0,1816.667920672353
12,12.0,1.0,1859.2772177480992
13,12.999999,1.0,1901.3715568450252
14,13.999999,1.0,1942.9753028577593
15,14.999998,1.0,1984.1121272283015
16,15.999997,1.0,2024.804056244714
17,16.999996,1.0,2065.072110053005
18,17.999993,1.0,2104.9364493398084
19,18.99999,0.999999,2144.415713058535
20,19.999985,0.999999,2183.5280258699167
21,20.999978,0.999999,2222.290337829984
22,21.999969,0.999999,2260.71871305957
23,22.999957,0.999998,2298.828472945415
24,23.999941,0.999998,2336.6341266903464
25,24.999919,0.999997,2374.149506782149
26,25.999892,0.999996,2411.3874247533267
27,26.999857,0.999995,2448.360373871783
28,27.999813,0.999993,2485.079988273957
29,28.999758,0.999992,2521.5573554945936
30,29.999689,0.99999,2557.803036925686
31,30.999604,0.999987,2593.826920624745
32,31.9995,0.999984,2629.6384202565196
33,32.999373,0.999981,2665.246492367221
34,33.99922,0.999977,2700.6594943170444
35,34.999036,0.999972,2735.885447625254
36,35.998816,0.999967,2770.931892273456
37,36.998554,0.999961,2805.8059825562227
38,37.998244,0.999954,2840.514425439005
39,38.99788,0.999946,2875.0634982215574
40,39.997453,0.999936,2909.4592830888187
41,40.996954,0.999926,2943.7074527342374
42,41.996375,0.999914,2977.813214674274
43,42.995705,0.9999,3011.7816097544423
44,43.994932,0.999885,3045.6173739394894
45,44.994044,0.999868,3079.324878575145
46,45.993027,0.999848,3112.9082777202016
47,46.991867,0.999827,3146.371378002458
48,47.990548,0.999803,3179.7177818810087
49,48.989052,0.999777,3212.9508908446455
50,49.98736,0.999747,3246.073843674109
51,50.985452,0.999715,3279.0895227409865
52,51.983307,0.999679,3312.0005599402334
53,52.980901,0.99964,3344.8094685557244
54,53.97821,0.999596,3377.51845524271
55,54.975206,0.999549,3410.129676272844
56,55.971861,0.999498,3442.644988617843
57,56.968146,0.999441,3475.0660187402777
58,57.964027,0.99938,3507.394409491134
59,58.959471,0.999313,3539.6314550745897
60,59.954442,0.999241,3571.7783490550255
61,60.948902,0.999162,3603.836125413206
62,61.94281,0.999078,3635.8057198728707
63,62.936124,0.998986,3667.687853955967
64,63.9288,0.998888,3699.4830978048744
65,64.92079,0.998781,3731.1919880116825
66,65.912045,0.998667,3762.8148554959926
67,66.902514,0.998545,3794.3518874074643
68,67.892142,0.998414,3825.8032431496104
69,68.880874,0.998274,3857.1688302995785
70,69.86865,0.998124,3888.4485900855057
71,70.855409,0.997964,3919.642274800185
72,71.841088,0.997793,3950.749508547889
73,72.82562,0.997611,3981.7699007684564
74,73.808937,0.997418,4012.7028843666953
75,74.790966,0.997213,4043.5479381095397
76,75.771634,0.996995,4074.3043180659593
77,76.750865,0.996764,4104.9712260021715
78,77.728579,0.99652,4135.547866268661
79,78.704696,0.996262,4166.033236648588
80,79.67913,0.995989,4196.426452604818
81,80.651796,0.995701,4226.726380845589
82,81.622604,0.995398,4256.931962052584
83,82.591463,0.995078,4287.042005507265
84,83.558279,0.994741,4317.055299910282
85,84.522956,0.994388,4346.9705671306065
86,85.485394,0.994016,4376.786571148398
87,86.445494,0.993626,4406.501867603386
88,87.403152,0.993218,4436.115118510737
89,88.358263,0.992789,4465.624893730735
90,89.310719,0.992341,4495.029779785224
91,90.260412,0.991873,4524.328235611865
92,91.207228,0.991383,4553.518901409077
93,92.151056,0.990872,4582.600154439294
94,93.09178,0.990338,4611.57051765018
95,94.029282,0.989782,4640.428516194165
96,94.963446,0.989203,4669.17248831977
97,95.89415,0.988599,4697.800988468028
98,96.821273,0.987972,4726.312449556784
99,97.744692,0.98732,4754.705339142828
100,98.664283,0.986643,4782.978118511977
101,99.579921,0.98594,4811.129251069952
102,100.49148,0.985211,4839.157210675308
103,101.398832,0.984455,4867.06053790553
104,102.301849,0.983672,4894.837751794891
105,103.200403,0.982861,4922.48735872295
106,104.094365,0.982022,4950.0079087127215
107,104.983604,0.981155,4977.398050728131
108,105.867991,0.980259,5004.656350671086
109,106.747396,0.979334,5031.78144252233
110,107.621688,0.978379,5058.77203582187
111,108.490737,0.977394,5085.626829269992
112,109.354414,0.976379,5112.3445192051
113,110.212588,0.975333,5138.923947730733
114,111.065131,0.974256,5165.363876388615
115,111.911913,0.973147,5191.66322713828
116,112.752807,0.972007,5217.8208568180125
117,113.587685,0.970835,5243.8357503117795
118,114.416422,0.969631,5269.7068423232495
119,115.238892,0.968394,5295.433209127578
