M,Ms,Ps,Da
1,1.0,1.0,1306.0
2,2.0,1.0,1341.6266666666666
3,3.0,1.0,1407.9733333333334
4,4.0,1.0,1451.3866666666668
5,5.0,1.0,1507.9840000000004
6,6.0,1.0,1554.746666666667
7,7.0,1.0,1599.7295238095237
8,8.0,1.0,1656.986666666667
9,9.0,1.0,1693.9348148148147
10,10.0,1.0,1743.5039999999997
20,20.0,1.0,2160.0586666666663
30,29.999667,0.999989,2536.3211976097377
40,39.997,0.999925,2892.839012925969
50,49.986333,0.999727,3229.6660902624444
60,59.951,0.999183,3546.414560780192
70,69.887333,0.99839,3870.963435772641
80,79.674,0.995925,4184.679954146481
90,89.297,0.992189,4469.923237436122
100,98.677333,0.986773,4780.517365624382
200,154.516667,0.772583,6894.926487121289
300,141.586667,0.471956,8074.6855446023965
400,114.072667,0.285182,9026.716943507598
500,91.520333,0.183041,9926.486121213453
600,76.197667,0.126996,10754.53144779354
700,66.241667,0.094631,11472.655571907631
800,59.392,0.07424,12028.147988505745
900,54.553333,0.060615,12473.808459451353
1000,51.290333,0.05129,12799.280558385146
